,City,Temperature_max,Wind,Humidity,Latitude,Longitude,Cloudiness,Country
0,bambous virieux,25.0,3.6,94,-20.3428,57.7575,75,MU
1,butaritari,28.16,4.78,76,3.0707,172.7902,82,KI
2,general pico,12.65,3.48,77,-35.6566,-63.7568,0,AR
3,champerico,28.0,3.09,78,14.3,-91.9167,75,GT
4,komarichi,-1.4,3.23,82,52.4151,34.7905,94,RU
5,rikitea,25.61,3.26,72,-23.1203,-134.9692,100,PF
6,mataura,8.89,4.92,70,-46.1927,168.8643,67,NZ
7,provideniya,4.0,2.0,65,64.3833,-173.3,0,RU
8,sakakah,22.0,8.23,28,29.9697,40.2064,0,SA
9,kapaa,26.0,3.6,65,22.0752,-159.319,40,US
10,mar del plata,11.11,1.29,93,-38.0023,-57.5575,0,AR
11,chifeng,11.94,7.25,28,42.2683,118.9636,5,CN
12,bluff,8.89,4.92,70,-46.6,168.3333,69,NZ
13,ushuaia,6.0,3.6,87,-54.8,-68.3,75,AR
14,hermanus,16.67,0.89,85,-34.4187,19.2345,96,ZA
15,grand gaube,25.0,2.24,83,-20.0064,57.6608,100,MU
16,guangshui,18.29,0.75,68,31.6199,113.9978,100,CN
17,thompson,9.0,5.66,49,55.7435,-97.8558,40,CA
18,jamestown,8.0,4.63,46,42.097,-79.2353,1,US
19,dikson,-0.11,7.87,98,73.5069,80.5464,100,RU
20,cape town,17.22,6.17,88,-33.9258,18.4232,90,ZA
21,hilo,26.0,3.6,65,19.7297,-155.09,90,US
22,severobaykalsk,-1.82,6.59,55,55.65,109.3167,5,RU
23,westport,14.0,7.2,19,41.1415,-73.3579,1,US
24,tuatapere,8.89,4.92,70,-46.1333,167.6833,92,NZ
25,puerto ayora,24.04,2.78,89,-0.7393,-90.3518,36,EC
26,lebu,11.97,4.17,88,-37.6167,-73.65,10,CL
27,hirara,25.0,6.69,60,24.8,125.2833,20,JP
28,mosina,-0.56,1.03,80,52.2454,16.8471,0,PL
29,luquillo,27.0,4.12,65,18.3725,-65.7166,75,PR
30,hammerfest,-3.0,2.06,93,70.6634,23.6821,40,NO
31,avarua,28.0,3.09,74,-21.2078,-159.775,75,CK
32,khandyga,0.91,1.97,100,62.6667,135.6,100,RU
33,talcahuano,14.0,2.06,82,-36.7167,-73.1167,0,CL
34,ystad,0.56,1.03,69,55.4297,13.8204,0,SE
35,vaini,25.0,2.06,94,-21.2,-175.2,90,TO
36,albany,7.78,1.34,50,42.6001,-73.9662,4,US
37,banepa,16.0,1.02,67,27.6298,85.5214,20,NP
38,fortuna,13.33,5.66,62,40.5982,-124.1573,1,US
39,kavieng,29.02,1.77,68,-2.5744,150.7967,67,PG
40,hailar,4.17,12.27,47,49.2,119.7,100,CN
41,hofn,3.5,0.75,69,64.2539,-15.2082,28,IS
42,bethel,13.0,2.57,21,41.3712,-73.414,1,US
43,constitucion,14.26,3.43,66,-35.3333,-72.4167,0,CL
44,dingle,28.91,4.46,62,10.9995,122.6711,19,PH
45,pisco,18.33,3.13,92,-13.7,-76.2167,3,PE
46,asau,5.0,0.71,67,46.4333,26.4,100,RO
47,naze,22.0,3.6,64,28.3667,129.4833,20,JP
48,hasaki,16.11,2.57,51,35.7333,140.8333,75,JP
49,san patricio,24.0,6.69,83,28.017,-97.5169,75,US
50,tuktoyaktuk,-11.0,6.69,73,69.4541,-133.0374,1,CA
51,touros,25.0,2.06,88,-5.1989,-35.4608,20,BR
52,suntar,-5.18,4.2,66,62.1444,117.6319,100,RU
53,ponta do sol,15.0,1.34,79,32.6667,-17.1,59,PT
54,belyy yar,2.0,2.0,60,53.6039,91.3903,0,RU
55,teno,12.22,1.69,87,-34.8667,-71.1833,0,CL
56,mandiana,28.1,2.74,55,10.6333,-8.6833,100,GN
57,gao,31.32,3.85,23,16.6362,1.637,60,ML
58,cayenne,24.44,1.54,100,4.9333,-52.3333,75,GF
59,saint george,14.44,7.2,47,37.1041,-113.5841,1,US
60,dryden,3.0,5.14,81,49.7833,-92.7503,90,CA
61,mahebourg,24.0,3.6,94,-20.4081,57.7,75,MU
62,cap malheureux,25.0,2.24,83,-19.9842,57.6142,100,MU
63,mecca,27.77,0.99,46,21.4267,39.8261,0,SA
64,palmer,10.0,5.14,34,42.1584,-72.3287,20,US
65,punta arenas,7.0,1.03,93,-53.15,-70.9167,75,CL
66,narasannapeta,26.89,3.3,79,18.4167,84.05,1,IN
67,victoria,23.89,0.45,88,22.2855,114.1577,100,HK
68,luau,18.0,1.79,90,-10.7073,22.2247,100,AO
69,atuona,26.62,6.62,74,-9.8,-139.0333,99,PF
70,torbay,5.56,8.75,87,47.6666,-52.7314,90,CA
71,airai,21.04,0.92,43,-8.9266,125.4092,11,TL
72,muros,11.67,0.45,90,42.7762,-9.0603,20,ES
73,auki,28.65,1.68,77,-8.7676,160.7034,100,SB
74,ouadda,21.94,2.01,66,8.0777,22.4007,46,CF
75,hithadhoo,28.01,1.41,61,-0.6,73.0833,6,MV
76,mindyak,1.73,0.62,74,54.0231,58.7891,100,RU
77,xining,4.99,2.63,41,36.6167,101.7667,100,CN
78,hendek,2.0,2.32,100,40.7994,30.7481,0,TR
79,kodiak,6.0,6.69,87,57.79,-152.4072,90,US
80,nichinan,17.0,1.54,59,31.6,131.3667,75,JP
81,codrington,15.86,0.33,64,-38.2667,141.9667,88,AU
82,new norfolk,17.22,1.79,49,-42.7826,147.0587,4,AU
83,denia,15.56,1.34,91,38.8408,0.1057,50,ES
84,watsa,17.81,0.83,97,3.0372,29.5355,100,CD
85,tiarei,31.0,2.57,58,-17.5333,-149.3333,40,PF
86,saldanha,17.0,4.63,94,-33.0117,17.9442,8,ZA
87,hobart,17.22,3.6,58,-42.8794,147.3294,20,AU
88,nemuro,8.0,6.69,49,43.3236,145.575,20,JP
89,broome,6.0,4.63,28,42.2506,-75.833,1,US
90,cherskiy,-4.29,3.56,79,68.75,161.3,68,RU
91,khatanga,-5.43,7.81,93,71.9667,102.5,100,RU
92,lang suan,24.0,1.03,100,9.9456,99.0785,40,TH
93,kaoma,16.49,1.7,84,-14.7833,24.8,93,ZM
94,tiksi,-8.63,4.95,87,71.6872,128.8694,100,RU
95,manado,29.0,1.03,70,1.487,124.8455,20,ID
96,georgetown,25.0,2.06,94,5.4112,100.3354,40,MY
97,luebo,20.99,0.98,98,-5.35,21.4167,100,CD
98,takoradi,27.2,2.73,87,4.8845,-1.7554,100,GH
99,barcelona,15.0,2.57,94,41.3888,2.159,20,ES
100,najran,20.0,3.09,83,17.4924,44.1277,40,SA
101,richards bay,18.48,2.8,93,-28.783,32.0377,99,ZA
102,ajdabiya,18.16,3.3,48,30.7554,20.2263,96,LY
103,busselton,18.89,0.45,84,-33.65,115.3333,27,AU
104,yellowknife,-12.0,7.2,48,62.456,-114.3525,20,CA
105,manzanillo,27.88,5.82,56,20.3433,-77.1167,47,CU
106,kambove,15.88,1.32,93,-10.8764,26.5969,100,CD
107,arraial do cabo,23.92,1.69,78,-22.9661,-42.0278,100,BR
108,plettenberg bay,15.35,1.2,91,-34.0527,23.3716,12,ZA
109,high level,-6.0,6.69,53,58.5169,-117.136,75,CA
110,zhigansk,-8.87,7.18,85,66.7697,123.3711,100,RU
111,port-gentil,27.88,3.06,79,-0.7193,8.7815,100,GA
112,vardo,0.61,7.4,61,70.3705,31.1107,97,NO
113,babushkin,0.36,6.69,92,51.7122,105.8647,100,RU
114,faanui,27.32,1.96,68,-16.4833,-151.75,100,PF
115,yulara,19.0,7.2,32,-25.2406,130.9889,0,AU
116,antofagasta,16.0,2.57,77,-23.65,-70.4,0,CL
117,marsh harbour,23.58,9.35,72,26.5412,-77.0636,0,BS
118,qaanaaq,2.99,3.21,70,77.484,-69.3632,100,GL
